GMT TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2006-06-23,1.11873,1.12857,1.11775,1.12264,160522.4531
2006-06-25,1.12250,1.12258,1.11934,1.12160,14837.5
2006-06-26,1.12153,1.12478,1.11703,1.12190,163823.1719
2006-06-27,1.12190,1.12475,1.11900,1.12320,163951.6406
2006-06-28,1.12316,1.12641,1.12052,1.12350,166849.5625
2006-06-29,1.12343,1.12365,1.10883,1.10950,166827.375
2006-06-30,1.10943,1.11750,1.10797,1.11611,159274.4531
2006-07-02,1.11560,1.11855,1.11414,1.11533,16053
2006-07-03,1.11533,1.11743,1.10847,1.11183,163052.2656
2006-07-04,1.11180,1.11262,1.10542,1.10948,161449.3438
2006-07-05,1.10942,1.11383,1.10397,1.11207,164975.2969
2006-07-06,1.11203,1.11502,1.10847,1.11185,166069.2656
2006-07-07,1.11173,1.11492,1.10654,1.11259,158776.25
2006-07-09,1.11242,1.11525,1.11242,1.11500,14504.7998
2006-07-10,1.11496,1.12601,1.11307,1.12340,168474.8438
2006-07-11,1.12340,1.13418,1.12203,1.13140,165908.0625
2006-07-12,1.13133,1.13974,1.12832,1.13386,164835.3438
2006-07-13,1.13384,1.13488,1.12862,1.13110,164415.0469
2006-07-14,1.13103,1.13257,1.12561,1.12684,161735.0156
2006-07-16,1.12695,1.12855,1.12676,1.12840,14648.5996
2006-07-17,1.12840,1.13676,1.12620,1.13542,165717.8594
2006-07-18,1.13533,1.13747,1.13058,1.13570,165265.9688
2006-07-19,1.13563,1.14045,1.13141,1.13370,164174.3438
2006-07-20,1.13362,1.13513,1.12816,1.13330,164051.5469
2006-07-21,1.13320,1.13934,1.12616,1.13618,157432.9219
2006-07-23,1.13588,1.13835,1.13542,1.13770,13676.2998
2006-07-24,1.13763,1.14563,1.13760,1.14200,166855.7656
2006-07-25,1.14193,1.14332,1.13762,1.14109,169902.1875
2006-07-26,1.14120,1.14279,1.13371,1.13600,164309.1719
2006-07-27,1.13600,1.13841,1.12576,1.13550,166095.7344
2006-07-28,1.13543,1.13694,1.12825,1.13065,157910.0469
2006-07-30,1.13038,1.13092,1.12882,1.12987,14472.7998
2006-07-31,1.12980,1.13185,1.12196,1.13099,166434.8281
2006-08-01,1.13115,1.13706,1.12837,1.13150,165485.2969
2006-08-02,1.13144,1.13163,1.12435,1.12620,170005.625
2006-08-03,1.12610,1.12748,1.12062,1.12394,167292.1719
2006-08-04,1.12392,1.13432,1.12303,1.12608,158553.3438
2006-08-06,1.12648,1.12719,1.12544,1.12590,14368.7002
2006-08-07,1.12593,1.12637,1.11736,1.11932,165290.25
2006-08-08,1.11934,1.12498,1.11655,1.12450,164750.9375
2006-08-09,1.12450,1.12507,1.11723,1.12000,162953.8594
2006-08-10,1.11993,1.12798,1.11507,1.12595,166301.6563
2006-08-11,1.12593,1.12801,1.11708,1.12432,159617.7656
2006-08-13,1.12409,1.12566,1.12335,1.12380,13898
2006-08-14,1.12369,1.12770,1.12051,1.12724,162935.8438
2006-08-15,1.12720,1.13165,1.12067,1.12259,168687.0625
2006-08-16,1.12253,1.12376,1.11432,1.11904,162554.4219
2006-08-17,1.11900,1.12345,1.11538,1.12280,163796.4531
2006-08-18,1.12280,1.12706,1.11982,1.12407,159383.5469
2006-08-20,1.12505,1.12533,1.12315,1.12519,12682.7998
2006-08-21,1.12513,1.12525,1.11647,1.11873,165236.9688
2006-08-22,1.11880,1.11995,1.11452,1.11549,163743.875
2006-08-23,1.11555,1.11577,1.10487,1.11167,163132.1563
2006-08-24,1.11154,1.11306,1.10733,1.10950,163465.4219
2006-08-25,1.10950,1.11015,1.10525,1.10875,157513.4688
2006-08-27,1.10830,1.10935,1.10794,1.10840,14528.2998
2006-08-28,1.10840,1.11244,1.10602,1.11200,165918.6563
2006-08-29,1.11190,1.11244,1.10566,1.10780,163471.4688
2006-08-30,1.10780,1.11114,1.10535,1.10942,167565.0469
2006-08-31,1.10938,1.11125,1.10272,1.10430,172581.6563
2006-09-01,1.10423,1.10713,1.10285,1.10394,169728.2656
2006-09-03,1.10359,1.10530,1.10346,1.10470,16220.4004
2006-09-04,1.10457,1.10744,1.10412,1.10660,180514.5625
2006-09-05,1.10656,1.11373,1.10625,1.11124,181344.2969
2006-09-06,1.11113,1.11360,1.10429,1.10570,178574.3438
2006-09-07,1.10568,1.11050,1.10404,1.11007,171916.3281
2006-09-08,1.10997,1.12085,1.10912,1.11980,166617.8438
2006-09-10,1.11958,1.12149,1.11958,1.12018,15797.2002
2006-09-11,1.12055,1.12248,1.11714,1.12112,172890.5156
2006-09-12,1.12129,1.12177,1.11542,1.11946,174238.7344
2006-09-13,1.11945,1.12332,1.11712,1.11904,173077.7344
